t,x,linear,addition,multiplication,parabolic,cubic,polynomial,exponential,logarithmic,sinusoidal,VF sinusoidal,hybrid,random
0.9851500000000001,0.9851500000000001,1.9750660620629732,2.9602160620629734,1.9457363310413383,0.9414820900000003,0.9135200719270005,0.3712675470018134,0.8034640758991809,0.08171822628485789,0.9956502174245873,-0.13744312585644167,0.9385650116926815,0.9529364605593453
0.65,0.65,1.3189727054881766,1.9689727054881767,0.8573322585673148,0.09000000000000002,0.027000000000000014,-0.4725625000000001,0.5746622487041688,-0.2876820724517809,-0.5877852522924732,-0.840093553898942,0.24549150281252635,0.5337563818744637
0.9176000000000001,0.9176000000000001,1.8460890549354274,2.7636890549354276,1.6939713168087482,0.6975590400000002,0.5826013102080003,-0.09638332902399971,0.7509825941936507,0.017446913603720703,0.8689426488193064,-0.6538106639232915,0.6701436033040935,0.1385156445900726
0.68215,0.68215,1.3665989819590263,2.0487489819590263,0.9322254955433499,0.13271449000000005,0.04834788870700003,-0.5210172871819375,0.5934378404252798,-0.24570874097435774,-0.4135176424132976,-0.8903436067665138,0.22690194689791698,0.5320524703916907
0.9287000000000001,0.9287000000000001,1.8438091510408803,2.7725091510408806,1.7123455585716656,0.7351347600000003,0.6303045432240003,-0.0322102808094995,0.7593649369258367,0.028295869154847466,0.9013190816972517,-0.5843460858709814,0.7121221196841523,0.6333427050817726
0.36000000000000004,0.36000000000000004,0.714760709296447,1.074760709296447,0.25731385534672097,0.07839999999999996,-0.02195199999999998,0.41705599999999987,0.4299988243681021,-0.7765287894989962,-0.6374239897486897,-0.8249556975583229,0.7452566213878946,0.5007128806381623
0.41595000000000004,0.41595000000000004,0.8316993117884985,1.2476493117884986,0.345945328738426,0.02825760999999997,-0.004750104240999993,0.22904785471831235,0.4547430229415853,-0.6617454174204137,-0.863765156667483,-0.7525847687150262,0.6678972931622796,0.4688405032782573
0.9490000000000001,0.9490000000000001,1.9126150244840845,2.8616150244840846,1.8150716582353963,0.8064040000000002,0.7241507920000003,0.09773171150000093,0.7749375726241549,0.04783732941416027,0.9490961449902946,-0.4404948692220439,0.7915067401723477,0.994959697261811
0.8911,0.8911,1.7892706616495857,2.6803706616495857,1.5944190865959458,0.61183684,0.478578776248,-0.2307025925814996,0.7313429303100222,-0.008939841569474296,0.7749003628465203,-0.792311224208139,0.5750582987720089,0.22253375307156442
0.92505,0.92505,1.8450070438198336,2.7700570438198335,1.7067237658855372,0.7226700100000001,0.6143417755010002,-0.05384012321706244,0.7565983070770661,0.02474139188844709,0.8911491055384908,-0.6079240429817759,0.6981947203072256,0.15607321284162778
